#Query	BLAST hit 1
ENSEBLP00005007605.1	CG4119-PB 
ENSEBLP00005010033.1	CG3009-PD 
ENSEBLP00005010038.1	CG3009-PD 
ENSEBLP00005010051.1	Usp7-PB 
ENSEBLP00005010099.1	RpLP2-PA 
ENSEBLP00005010107.1	RpLP2-PA 
ENSEBLP00005010133.1	Dysb-PB 
ENSEBLP00005010147.1	Dysb-PB 
ENSEBLP00005010159.1	CG8206-PB 
ENSEBLP00005010180.1	CG8097-PB 
ENSEBLP00005010191.1	CG8097-PB 
ENSEBLP00005010230.1	PQBP1-PA 
ENSEBLP00005010242.1	PQBP1-PA 
ENSEBLP00005010259.1	CG8319-PA 
ENSEBLP00005010281.1	CG6659-PA 
ENSEBLP00005010301.1	Or2a-PA 
ENSEBLP00005010334.1	CG9400-PA 
ENSEBLP00005010374.1	CG13012-PE 
ENSEBLP00005010382.1	CG13012-PE 
ENSEBLP00005010385.1	CG13012-PE 
ENSEBLP00005010405.1	CG9215-PA 
ENSEBLP00005010411.1	CG9215-PA 
ENSEBLP00005010454.1	shtd-PA 
ENSEBLP00005010473.1	shtd-PA 
ENSEBLP00005010482.1	shtd-PA 
ENSEBLP00005010501.1	CG14636-PB 
ENSEBLP00005010521.1	Jwa-PC 
ENSEBLP00005010530.1	Jwa-PC 
ENSEBLP00005010575.1	Ugt37C1-PB 
ENSEBLP00005010584.1	Ugt37C2-PB 
ENSEBLP00005010596.1	Ugt37C1-PB 
ENSEBLP00005010603.1	Ugt37C1-PB 
ENSEBLP00005010625.1	CG4789-PA 
ENSEBLP00005010640.1	CG10949-PB 
ENSEBLP00005010654.1	CG14234-PB 
ENSEBLP00005010677.1	r-PE 
ENSEBLP00005010686.1	r-PE 
ENSEBLP00005010699.1	nop5-PA 
ENSEBLP00005010726.1	Lst8-PA 
ENSEBLP00005010736.1	Lst8-PA 
ENSEBLP00005010757.1	CG5909-PA 
ENSEBLP00005010792.1	CG15725-PA 
ENSEBLP00005010799.1	CG15725-PA 
ENSEBLP00005010820.1	pkm-PB 
ENSEBLP00005010838.1	fs(1)K10-PA 
ENSEBLP00005010861.1	MED16-PA 
ENSEBLP00005010865.1	MED16-PA 
ENSEBLP00005010895.1	NetB-PF 
ENSEBLP00005010910.1	NetB-PG 
ENSEBLP00005010917.1	NetB-PF 
ENSEBLP00005010944.1	Or2a-PA 
ENSEBLP00005010955.1	Or7a-PA 
ENSEBLP00005010960.1	Or7a-PA 
ENSEBLP00005010986.1	Cdc42-PD 
ENSEBLP00005011008.1	sol-PE 
ENSEBLP00005011017.1	sol-PF 
ENSEBLP00005011039.1	opm-PA 
ENSEBLP00005011055.1	Vha13-PB 
ENSEBLP00005011072.1	Rab21-PC 
ENSEBLP00005011101.1	CG2202-PA 
ENSEBLP00005011109.1	CG2202-PA 
ENSEBLP00005011123.1	CG43088-PA 
ENSEBLP00005011141.1	SMC3-PA 
ENSEBLP00005011148.1	SMC3-PA 
ENSEBLP00005011171.1	CG3919-PB 
ENSEBLP00005011176.1	CG3919-PC 
ENSEBLP00005011221.1	Sirt6-PB 
ENSEBLP00005011248.1	CG8765-PB 
ENSEBLP00005011276.1	CG10793-PA 
ENSEBLP00005011295.1	Pgant35A-PA 
ENSEBLP00005011319.1	l(2)k10201-PA 
ENSEBLP00005011358.1	Elys-PB 
ENSEBLP00005011370.1	Elys-PB 
ENSEBLP00005011398.1	CG3021-PA 
ENSEBLP00005011404.1	CG3021-PA 
ENSEBLP00005011422.1	CG13204-PA 
ENSEBLP00005011429.1	CG13204-PA 
ENSEBLP00005011443.1	Agpat4-PC 
ENSEBLP00005011453.1	Agpat4-PC 
ENSEBLP00005011477.1	Dredd-PG 
ENSEBLP00005011485.1	Dredd-PE 
ENSEBLP00005011501.1	CG3224-PA 
ENSEBLP00005011506.1	CG3224-PA 
ENSEBLP00005011518.1	sw-PI 
ENSEBLP00005011543.1	Smn-PB 
ENSEBLP00005011550.1	Smn-PB 
ENSEBLP00005011562.1	cold-PB 
ENSEBLP00005011565.1	cold-PB 
ENSEBLP00005011585.1	pico-PD 
ENSEBLP00005011595.1	pico-PA 
ENSEBLP00005011603.1	pico-PA 
ENSEBLP00005011632.1	Apl-PC 
ENSEBLP00005011661.1	Proc-R-PE 
ENSEBLP00005011667.1	Proc-R-PE 
ENSEBLP00005011674.1	Proc-R-PE 
ENSEBLP00005011677.1	Proc-R-PE 
ENSEBLP00005011699.1	CG5909-PA 
ENSEBLP00005011707.1	CG5909-PA 
ENSEBLP00005011734.1	CG8915-PB 
ENSEBLP00005011738.1	CG8915-PB 
ENSEBLP00005011745.1	CG8915-PB 
ENSEBLP00005011792.1	CG12531-PA 
ENSEBLP00005011800.1	CG12531-PA 
ENSEBLP00005011806.1	CG12531-PA 
ENSEBLP00005011812.1	CG12531-PA 
ENSEBLP00005011859.1	shi-PL 
ENSEBLP00005011865.1	shi-PL 
ENSEBLP00005011875.1	shi-PL 
ENSEBLP00005011880.1	shi-PL 
ENSEBLP00005011891.1	shi-PL 
ENSEBLP00005011940.1	Rab40-PC 
ENSEBLP00005011951.1	Rab40-PC 
ENSEBLP00005011978.1	Or2a-PA 
ENSEBLP00005011985.1	Or2a-PA 
ENSEBLP00005012010.1	CG32708-PA 
ENSEBLP00005012018.1	CG32708-PA 
ENSEBLP00005012021.1	CG32708-PA 
ENSEBLP00005012039.1	Tcs4-PB 
ENSEBLP00005012059.1	CG14230-PA 
ENSEBLP00005012088.1	Ctr1B-PA 
ENSEBLP00005012093.1	Ctr1B-PA 
ENSEBLP00005012100.1	Ctr1B-PA 
ENSEBLP00005012135.1	CG4991-PE 
ENSEBLP00005012141.1	CG16700-PA 
ENSEBLP00005012148.1	CG16700-PA 
ENSEBLP00005012156.1	CG16700-PA 
ENSEBLP00005012165.1	CG16700-PA 
ENSEBLP00005012182.1	CG2972-PB 
ENSEBLP00005012222.1	Chsy-PD 
ENSEBLP00005012231.1	Chsy-PD 
ENSEBLP00005016130.1	Or2a-PA 
ENSEBLP00005016144.1	Naa30A-PD 
ENSEBLP00005016198.1	Sec13-PB 
ENSEBLP00005016208.1	Sec13-PB 
ENSEBLP00005016240.1	CG3168-PG 
ENSEBLP00005016243.1	CG3168-PG 
ENSEBLP00005016250.1	CG3168-PG 
ENSEBLP00005016253.1	CG3168-PG 
ENSEBLP00005016256.1	CG3168-PG 
ENSEBLP00005016277.1	Tip60-PC 
ENSEBLP00005016286.1	Tip60-PC 
ENSEBLP00005016303.1	MagR-PA 
ENSEBLP00005016359.1	spri-PO 
ENSEBLP00005016364.1	spri-PO 
ENSEBLP00005016366.1	spri-PO 
ENSEBLP00005016374.1	spri-PO 
ENSEBLP00005016397.1	CG3527-PA 
ENSEBLP00005016402.1	CG3527-PA 
ENSEBLP00005016414.1	eIF3f1-PA 
ENSEBLP00005016444.1	hec-PB 
ENSEBLP00005016451.1	hec-PB 
ENSEBLP00005016455.1	hec-PB 
ENSEBLP00005016462.1	hec-PB 
ENSEBLP00005016476.1	CG11030-PB 
ENSEBLP00005016509.1	Naa20A-PB 
ENSEBLP00005016514.1	Naa20A-PD 
ENSEBLP00005016520.1	Naa20A-PB 
ENSEBLP00005016529.1	CG13727-PA 
ENSEBLP00005016573.1	CG32669-PA 
ENSEBLP00005016580.1	ND-B16.6-PC 
ENSEBLP00005016588.1	CG32669-PA 
ENSEBLP00005016608.1	Grp170-PB 
ENSEBLP00005016616.1	Grp170-PB 
ENSEBLP00005016629.1	CG15894-PA 
ENSEBLP00005016639.1	CG15894-PD 
ENSEBLP00005016660.1	CG6654-PA 
ENSEBLP00005016664.1	CG6654-PA 
ENSEBLP00005016671.1	Meics-PA 
ENSEBLP00005016714.1	AANATL7-PD 
ENSEBLP00005016719.1	AANATL7-PD 
ENSEBLP00005016726.1	AANATL7-PD 
ENSEBLP00005016737.1	AANATL7-PD 
ENSEBLP00005016802.1	CG32813-PK 
ENSEBLP00005016811.1	CG32813-PK 
ENSEBLP00005016816.1	CG32813-PK 
ENSEBLP00005016825.1	vap-PF 
ENSEBLP00005016833.1	vap-PF 
ENSEBLP00005016912.1	obst-E-PA 
ENSEBLP00005016916.1	csw-PC 
ENSEBLP00005016923.1	csw-PC 
ENSEBLP00005016929.1	csw-PC 
ENSEBLP00005016938.1	csw-PA 
ENSEBLP00005016967.1	hng2-PA 
ENSEBLP00005016982.1	hng2-PA 
ENSEBLP00005016986.1	hng2-PA 
ENSEBLP00005017007.1	CG2924-PD 
ENSEBLP00005017026.1	Mic26-27-PC 
ENSEBLP00005017060.1	Obp19b-PA 
ENSEBLP00005017068.1	Obp19b-PA 
ENSEBLP00005017076.1	Obp19b-PA 
ENSEBLP00005017093.1	bi-PD 
ENSEBLP00005017099.1	bi-PC 
ENSEBLP00005017103.1	LIMK1-PE 
ENSEBLP00005017111.1	LIMK1-PC 
ENSEBLP00005017125.1	CG17754-PF 
ENSEBLP00005017147.1	CG8036-PC 
ENSEBLP00005017152.1	CG8036-PC 
ENSEBLP00005017157.1	mRpL49-PB 
ENSEBLP00005017161.1	Sirt4-PC 
ENSEBLP00005017184.1	CG14882-PB 
ENSEBLP00005017190.1	CG14882-PB 
ENSEBLP00005017193.1	CG14882-PB 
ENSEBLP00005017207.1	CG4438-PB 
ENSEBLP00005017209.1	CG3078-PD 
ENSEBLP00005017226.1	Rab35-PB 
ENSEBLP00005017231.1	Rab35-PB 
ENSEBLP00005017240.1	mRpL18-PA 
ENSEBLP00005017251.1	Xport-B-PB 
ENSEBLP00005017252.1	RhoGAP16F-PF 
ENSEBLP00005017260.1	Xport-B-PB 
ENSEBLP00005017275.1	fzr-PA 
ENSEBLP00005017282.1	fzr-PA 
ENSEBLP00005017303.1	Fum1-PA 
ENSEBLP00005017305.1	Fum1-PA 
ENSEBLP00005017319.1	BubR1-PA 
ENSEBLP00005017326.1	BubR1-PA 
ENSEBLP00005017332.1	BubR1-PA 
ENSEBLP00005017338.1	hng2-PA 
ENSEBLP00005017343.1	hng2-PA 
ENSEBLP00005017356.1	CG12204-PA 
ENSEBLP00005017368.1	Pak3-PC 
ENSEBLP00005017375.1	Pak3-PC 
ENSEBLP00005017427.1	CG3156-PA 
ENSEBLP00005017434.1	CG3156-PA 
ENSEBLP00005017465.1	CG15646-PB 
ENSEBLP00005017471.1	CG15646-PB 
ENSEBLP00005017487.1	CG2915-PA 
ENSEBLP00005017492.1	CG2915-PA 
ENSEBLP00005017498.1	CG2915-PA 
ENSEBLP00005017509.1	krz-PB 
ENSEBLP00005017512.1	sno-PB 
ENSEBLP00005017520.1	sno-PB 
ENSEBLP00005017529.1	rgr-PA 
ENSEBLP00005017530.1	sno-PB 
ENSEBLP00005017539.1	sno-PB 
ENSEBLP00005017540.1	rgr-PA 
ENSEBLP00005017560.1	CG2247-PD 
ENSEBLP00005017566.1	nsl1-PJ 
ENSEBLP00005017576.1	Ir94e-PA 
ENSEBLP00005017580.1	nsl1-PJ 
ENSEBLP00005017596.1	CG43088-PA 
ENSEBLP00005017603.1	CG43088-PA 
ENSEBLP00005017627.1	CG32772-PE 
ENSEBLP00005017631.1	CG32772-PE 
ENSEBLP00005017640.1	CG5916-PB 
ENSEBLP00005017642.1	CG32772-PE 
ENSEBLP00005017644.1	CG5916-PB 
ENSEBLP00005017652.1	CG5916-PB 
ENSEBLP00005017653.1	Kap3-PF 
ENSEBLP00005017658.1	CG5916-PB 
ENSEBLP00005017697.1	sov-PC 
ENSEBLP00005017704.1	sov-PC 
ENSEBLP00005017712.1	sov-PC 
ENSEBLP00005017717.1	sov-PC 
ENSEBLP00005017728.1	CG14627-PB 
ENSEBLP00005017731.1	rsh-PL 
ENSEBLP00005017737.1	rsh-PK 
ENSEBLP00005017741.1	vnd-PB 
ENSEBLP00005017757.1	Creld-PA 
ENSEBLP00005017760.1	rsh-PI 
ENSEBLP00005017765.1	Creld-PA 
ENSEBLP00005017772.1	rsh-PM 
ENSEBLP00005017788.1	rsh-PL 
ENSEBLP00005017797.1	Cyp311a1-PB 
ENSEBLP00005017839.1	e(y)3-PC 
ENSEBLP00005017851.1	e(y)3-PC 
ENSEBLP00005017863.1	e(y)3-PE 
ENSEBLP00005017866.1	Tsp2A-PB 
ENSEBLP00005017869.1	Tsp2A-PB 
ENSEBLP00005017875.1	e(y)3-PC 
ENSEBLP00005017884.1	e(y)3-PC 
ENSEBLP00005017931.1	CG9593-PB 
ENSEBLP00005017940.1	CG9593-PB 
ENSEBLP00005017942.1	Coq8-PA 
ENSEBLP00005017955.1	Coq8-PA 
ENSEBLP00005017957.1	CCT6-PA 
ENSEBLP00005017959.1	Coq8-PA 
ENSEBLP00005017991.1	CG2556-PA 
ENSEBLP00005018003.1	CG2556-PA 
ENSEBLP00005018036.1	east-PF 
ENSEBLP00005018039.1	CG12253-PA 
ENSEBLP00005018043.1	east-PF 
ENSEBLP00005018053.1	east-PF 
ENSEBLP00005018061.1	east-PF 
ENSEBLP00005018081.1	Alp12-PE 
ENSEBLP00005018103.1	Obp19a-PC 
ENSEBLP00005018116.1	RpL17-PE 
ENSEBLP00005018133.1	mbt-PA 
ENSEBLP00005018137.1	CG11382-PC 
ENSEBLP00005018140.1	mbt-PA 
ENSEBLP00005018178.1	CG1888-PD 
ENSEBLP00005018190.1	CG1888-PD 
ENSEBLP00005018200.1	CG1888-PD 
ENSEBLP00005018226.1	Appl-PD 
ENSEBLP00005018235.1	Appl-PF 
ENSEBLP00005018260.1	CG14894-PB 
ENSEBLP00005018271.1	CG42240-PC 
ENSEBLP00005018275.1	CG5254-PA 
ENSEBLP00005018293.1	Pop4-PA 
ENSEBLP00005018301.1	Cpr47Ef-PD 
ENSEBLP00005018310.1	Cpr47Ef-PD 
ENSEBLP00005018314.1	WDR79-PB 
ENSEBLP00005018319.1	WDR79-PB 
ENSEBLP00005018329.1	Xport-A-PA 
ENSEBLP00005018345.1	CG30428-PA 
ENSEBLP00005018354.1	CG10209-PB 
ENSEBLP00005018359.1	CG10209-PB 
ENSEBLP00005018361.1	CG2865-PB 
ENSEBLP00005018371.1	CG2865-PB 
ENSEBLP00005018376.1	RpL22-PA 
ENSEBLP00005018394.1	Atg8a-PA 
ENSEBLP00005018402.1	Atg8a-PA 
ENSEBLP00005018407.1	CG14439-PC 
ENSEBLP00005018415.1	CG14439-PC 
ENSEBLP00005018422.1	CG14439-PC 
ENSEBLP00005018429.1	CG13760-PC 
ENSEBLP00005018435.1	CG13760-PD 
ENSEBLP00005018437.1	CG11679-PA 
ENSEBLP00005018442.1	CG13760-PC 
ENSEBLP00005018475.1	CG1622-PA 
ENSEBLP00005018481.1	Ipo9-PD 
ENSEBLP00005018485.1	CG1622-PA 
ENSEBLP00005018504.1	CG9171-PG 
ENSEBLP00005018513.1	sip1-PB 
ENSEBLP00005018519.1	CG14817-PB 
ENSEBLP00005018540.1	FucT6-PA 
ENSEBLP00005018548.1	FucT6-PA 
ENSEBLP00005018556.1	FucT6-PA 
ENSEBLP00005018591.1	CG6836-PA 
ENSEBLP00005018599.1	CG6836-PA 
ENSEBLP00005018604.1	CG6836-PA 
ENSEBLP00005018614.1	ND-42-PC 
ENSEBLP00005018633.1	Septin1-PA 
ENSEBLP00005018637.1	Septin1-PA 
ENSEBLP00005018654.1	temp-PB 
ENSEBLP00005018672.1	CG11403-PA 
ENSEBLP00005018679.1	CG11403-PA 
ENSEBLP00005018690.1	CG11403-PA 
ENSEBLP00005018701.1	CG17841-PB 
ENSEBLP00005018713.1	CG17841-PB 
ENSEBLP00005018728.1	dgt4-PC 
ENSEBLP00005018743.1	CG1578-PB 
ENSEBLP00005018797.1	crn-PA 
ENSEBLP00005018814.1	mldr-PB 
ENSEBLP00005018819.1	mldr-PB 
ENSEBLP00005018834.1	CG9213-PB 
ENSEBLP00005018854.1	AANATL7-PD 
ENSEBLP00005018863.1	AANATL7-PD 
ENSEBLP00005018874.1	tko-PB 
ENSEBLP00005018889.1	MTPAP-PC 
ENSEBLP00005018925.1	Fer2-PB 
ENSEBLP00005018931.1	Fer2-PB 
ENSEBLP00005018937.1	Fer2-PC 
ENSEBLP00005018942.1	Fer2-PC 
ENSEBLP00005018956.1	CG18262-PA 
ENSEBLP00005018965.1	Ir94e-PA 
ENSEBLP00005018997.1	ari-1-PF 
ENSEBLP00005019007.1	ari-1-PF 
ENSEBLP00005019013.1	ari-1-PF 
ENSEBLP00005019047.1	CG11380-PB 
ENSEBLP00005019052.1	CG11380-PB 
ENSEBLP00005019056.1	CG11380-PB 
ENSEBLP00005019064.1	CG11380-PB 
ENSEBLP00005019087.1	hwt-PA 
ENSEBLP00005019095.1	hwt-PA 
ENSEBLP00005019098.1	hwt-PA 
ENSEBLP00005019107.1	Vlet-PB 
ENSEBLP00005019123.1	CG11417-PA 
ENSEBLP00005019139.1	eIF5-PF 
ENSEBLP00005019170.1	fs(1)h-PG 
ENSEBLP00005019178.1	fs(1)h-PH 
ENSEBLP00005019183.1	fs(1)h-PH 
ENSEBLP00005019212.1	Ork1-PC 
ENSEBLP00005019217.1	Ork1-PD 
ENSEBLP00005019222.1	Ork1-PD 
ENSEBLP00005019234.1	Syx18-PA 
ENSEBLP00005019244.1	Paris-PA 
ENSEBLP00005019278.1	gt-PB 
ENSEBLP00005019284.1	gt-PB 
ENSEBLP00005019300.1	Brms1-PA 
ENSEBLP00005019324.1	CG42249-PB 
ENSEBLP00005019332.1	CG42249-PB 
ENSEBLP00005019356.1	spri-PI 
ENSEBLP00005019363.1	spri-PF 
ENSEBLP00005019370.1	spri-PM 
ENSEBLP00005019376.1	spri-PO 
ENSEBLP00005019386.1	spri-PO 
