#Query	BLAST hit 1
ENSEBLP00000002056.1	 RpL7-like-PC 
ENSEBLP00000003454.1	 Ddc-PC 
ENSEBLP00000003463.1	 Ddc-PC 
ENSEBLP00000003470.1	 Ddc-PC 
ENSEBLP00000003480.1	 Ddc-PC 
ENSEBLP00000003481.1	 Smyd4-1-PC 
ENSEBLP00000003488.1	 Smyd4-1-PC 
ENSEBLP00000003507.1	  
ENSEBLP00000003531.1	 PNUTS-PA 
ENSEBLP00000003535.1	 CG30047-PA 
ENSEBLP00000003541.1	 PNUTS-PE 
ENSEBLP00000003548.1	 CG30047-PA 
ENSEBLP00000003558.1	 CG30047-PA 
ENSEBLP00000003563.1	  
ENSEBLP00000003565.1	 CG30047-PA 
ENSEBLP00000003572.1	 CG30047-PA 
ENSEBLP00000003576.1	 Pex12-PB 
ENSEBLP00000003587.1	 CG30047-PA 
ENSEBLP00000003595.1	  
ENSEBLP00000003605.1	 unpg-PA 
ENSEBLP00000003621.1	 Osi21-PA 
ENSEBLP00000003623.1	 CG30496-PA 
ENSEBLP00000003639.1	 RhoGAP92B-PD 
ENSEBLP00000003645.1	 RhoGAP92B-PC 
ENSEBLP00000003664.1	 AP-2alpha-PA 
ENSEBLP00000003671.1	 AP-2alpha-PA 
ENSEBLP00000003679.1	 AP-2alpha-PA 
ENSEBLP00000003688.1	 AP-2alpha-PA 
ENSEBLP00000003694.1	 Magi-PC 
ENSEBLP00000003702.1	 Magi-PC 
ENSEBLP00000003711.1	  
ENSEBLP00000003713.1	 Bka-PA 
ENSEBLP00000003718.1	  
ENSEBLP00000003721.1	 Bka-PA 
ENSEBLP00000003727.1	 Magi-PC 
ENSEBLP00000003738.1	  
ENSEBLP00000003740.1	  
ENSEBLP00000003755.1	  
ENSEBLP00000003765.1	 Hasp-PC 
ENSEBLP00000003772.1	  
ENSEBLP00000003778.1	 Hasp-PC 
ENSEBLP00000003791.1	 CG13794-PA 
ENSEBLP00000003792.1	 ppk26-PC 
ENSEBLP00000003817.1	  
ENSEBLP00000003827.1	 NtR-PB 
ENSEBLP00000003831.1	 NtR-PB 
ENSEBLP00000003835.1	  
ENSEBLP00000003848.1	  
ENSEBLP00000003850.1	 DMAP1-PA 
ENSEBLP00000003867.1	 CG9257-PA 
ENSEBLP00000003868.1	  
ENSEBLP00000003884.1	  
ENSEBLP00000003886.1	  
ENSEBLP00000003905.1	 CG10344-PB 
ENSEBLP00000003910.1	 CG10344-PB 
ENSEBLP00000003915.1	 Ref1-PA 
ENSEBLP00000003928.1	 Ref1-PA 
ENSEBLP00000003934.1	 Vti1a-PA 
ENSEBLP00000003935.1	 Ref1-PA 
ENSEBLP00000003948.1	 a10-PA 
ENSEBLP00000003961.1	 CG7329-PB 
ENSEBLP00000003968.1	 Wnt2-PA 
ENSEBLP00000003971.1	 CG7329-PB 
ENSEBLP00000003982.1	  
ENSEBLP00000004006.1	 scb-PA 
ENSEBLP00000004004.1	 CG8740-PD 
ENSEBLP00000004005.1	  
ENSEBLP00000004012.1	 CG8740-PE 
ENSEBLP00000004020.1	  
ENSEBLP00000004027.1	 scb-PB 
ENSEBLP00000004029.1	  
ENSEBLP00000004033.1	 scb-PA 
ENSEBLP00000004038.1	 scb-PB 
ENSEBLP00000004043.1	 exu-PD 
ENSEBLP00000004047.1	 CG14014-PB 
ENSEBLP00000004049.1	 exu-PD 
ENSEBLP00000004064.1	 CG7376-PB 
ENSEBLP00000004070.1	  
ENSEBLP00000004077.1	 Csgalnact-PB 
ENSEBLP00000004079.1	 CG7376-PB 
ENSEBLP00000004099.1	 CG5390-PB 
ENSEBLP00000004102.1	  
ENSEBLP00000004107.1	 Sidpn-PA 
ENSEBLP00000004108.1	  
ENSEBLP00000004112.1	  
ENSEBLP00000004115.1	 Sidpn-PA 
ENSEBLP00000004121.1	 CG3829-PB 
ENSEBLP00000004127.1	  
ENSEBLP00000004129.1	  
ENSEBLP00000004141.1	  
ENSEBLP00000004150.1	  
ENSEBLP00000004152.1	 CG12826-PA 
ENSEBLP00000004156.1	 CG12826-PA 
ENSEBLP00000004162.1	  
ENSEBLP00000004172.1	  
ENSEBLP00000004174.1	 TER94-PA 
ENSEBLP00000004182.1	  
ENSEBLP00000004184.1	 Pef-PA 
ENSEBLP00000004192.1	 TER94-PA 
ENSEBLP00000004200.1	 Pef-PA 
ENSEBLP00000004202.1	  
ENSEBLP00000004210.1	 Mettl14-PA 
ENSEBLP00000004218.1	 Mettl14-PA 
ENSEBLP00000004220.1	  
ENSEBLP00000004224.1	 rnh1-PA 
ENSEBLP00000004225.1	  
ENSEBLP00000004235.1	 rnh1-PA 
ENSEBLP00000004236.1	 Dic1-PC 
ENSEBLP00000004247.1	 NtR-PB 
ENSEBLP00000004259.1	  
ENSEBLP00000004263.1	 CG13506-PB 
ENSEBLP00000004265.1	  
ENSEBLP00000004270.1	  
ENSEBLP00000004275.1	 CG13506-PB 
ENSEBLP00000004282.1	 CG30080-PC 
ENSEBLP00000004287.1	 CG30008-PA 
ENSEBLP00000004289.1	 CG13506-PB 
ENSEBLP00000004298.1	 CG13506-PB 
ENSEBLP00000004303.1	 Wee1-PB 
ENSEBLP00000004308.1	  
ENSEBLP00000004319.1	 CG13042-PA 
ENSEBLP00000004320.1	 Fibp-PI 
ENSEBLP00000004323.1	  
ENSEBLP00000004325.1	 Fibp-PI 
ENSEBLP00000004330.1	 Fibp-PI 
ENSEBLP00000004334.1	 Arc2-PA 
ENSEBLP00000004339.1	 CG7565-PA 
ENSEBLP00000004344.1	 ppk10-PB 
ENSEBLP00000004352.1	  
ENSEBLP00000004359.1	 CG16798-PA 
ENSEBLP00000004375.1	 Agxt-PA 
ENSEBLP00000004377.1	 Amy-d-PA 
ENSEBLP00000004381.1	  
ENSEBLP00000004383.1	 Agxt-PA 
ENSEBLP00000004386.1	 Amy-p-PB 
ENSEBLP00000004397.1	 Rab32-PI 
ENSEBLP00000004398.1	 PIG-P-PA 
ENSEBLP00000004399.1	 haf-PI 
ENSEBLP00000004408.1	 CG13531-PC 
ENSEBLP00000004411.1	 haf-PD 
ENSEBLP00000004422.1	 haf-PI 
ENSEBLP00000004424.1	  
ENSEBLP00000004431.1	 Oseg4-PB 
ENSEBLP00000004432.1	 haf-PI 
ENSEBLP00000004437.1	  
ENSEBLP00000004443.1	 CG13616-PA 
ENSEBLP00000004450.1	  
ENSEBLP00000004452.1	 CG7824-PA 
ENSEBLP00000004458.1	  
ENSEBLP00000004467.1	 Gpat4-PC 
ENSEBLP00000004477.1	 Atf6-PC 
ENSEBLP00000004479.1	 eys-PF 
ENSEBLP00000004485.1	  
ENSEBLP00000004487.1	 Atf6-PB 
ENSEBLP00000004490.1	  
ENSEBLP00000004492.1	 eys-PF 
ENSEBLP00000004497.1	 mTor-PA 
ENSEBLP00000004499.1	 eys-PF 
ENSEBLP00000004503.1	  
ENSEBLP00000004506.1	  
ENSEBLP00000004518.1	  
ENSEBLP00000004519.1	  
ENSEBLP00000004525.1	 CG8086-PK 
ENSEBLP00000004529.1	 CG10209-PA 
ENSEBLP00000004532.1	 CG10209-PA 
ENSEBLP00000004541.1	  
ENSEBLP00000004544.1	 tadr-PC 
ENSEBLP00000004549.1	 Prp8-PA 
ENSEBLP00000004553.1	 tadr-PC 
ENSEBLP00000004554.1	  
ENSEBLP00000004557.1	 Boh1-PA 
ENSEBLP00000004561.1	  
ENSEBLP00000004563.1	 Prp8-PA 
ENSEBLP00000004570.1	 CG2906-PD 
ENSEBLP00000004578.1	 CG13430-PB 
ENSEBLP00000004588.1	 cag-PB 
ENSEBLP00000004590.1	  
ENSEBLP00000004592.1	 CG13430-PB 
ENSEBLP00000004593.1	  
ENSEBLP00000004594.1	  
ENSEBLP00000004597.1	 Syb-PB 
ENSEBLP00000004602.1	 Syb-PB 
ENSEBLP00000004603.1	  
ENSEBLP00000004609.1	  
ENSEBLP00000004621.1	 CG7194-PA 
ENSEBLP00000004628.1	 RluA-1-PC 
ENSEBLP00000004629.1	 CG7194-PA 
ENSEBLP00000004631.1	 Gr28b-PA 
ENSEBLP00000004632.1	  
ENSEBLP00000004642.1	 RluA-1-PC 
ENSEBLP00000004644.1	 Gr28b-PA 
ENSEBLP00000004657.1	 CG8197-PB 
ENSEBLP00000004658.1	 PIG-U-PA 
ENSEBLP00000004667.1	 eIF2Bgamma-PA 
ENSEBLP00000004673.1	  
ENSEBLP00000004675.1	 CG6686-PB 
ENSEBLP00000004678.1	 eIF2Bgamma-PA 
ENSEBLP00000004679.1	  
ENSEBLP00000004683.1	 RpLP1-PB 
ENSEBLP00000004682.1	  
ENSEBLP00000004695.1	  
ENSEBLP00000004699.1	 Kap3-PH 
ENSEBLP00000004700.1	 St1-PB 
ENSEBLP00000004704.1	 RpLP1-PB 
ENSEBLP00000004710.1	  
ENSEBLP00000004711.1	 Tom70-PC 
ENSEBLP00000004712.1	 Cdc14-PD 
ENSEBLP00000004718.1	 RPA1-PA 
ENSEBLP00000004721.1	 NtR-PA 
ENSEBLP00000004723.1	  
ENSEBLP00000004725.1	 NtR-PB 
ENSEBLP00000004726.1	 Tom70-PC 
ENSEBLP00000004733.1	 Tom70-PC 
ENSEBLP00000004734.1	 Rpe-PB 
ENSEBLP00000004735.1	  
ENSEBLP00000004744.1	  
ENSEBLP00000004748.1	  
ENSEBLP00000004749.1	 CG12253-PA 
ENSEBLP00000004751.1	  
ENSEBLP00000004760.1	 CG12253-PA 
ENSEBLP00000004763.1	  
ENSEBLP00000004768.1	 Pde1c-PJ 
ENSEBLP00000004773.1	  
ENSEBLP00000004778.1	 Pde1c-PJ 
ENSEBLP00000004780.1	  
ENSEBLP00000004784.1	 Pde1c-PJ 
ENSEBLP00000004785.1	 Ugt36D1-PD 
ENSEBLP00000004786.1	 Arc1-PA 
ENSEBLP00000004792.1	 Ugt36D1-PD 
ENSEBLP00000004793.1	 Pde1c-PK 
ENSEBLP00000004796.1	 Pde1c-PH 
ENSEBLP00000004798.1	  
ENSEBLP00000004799.1	 Ugt36D1-PD 
ENSEBLP00000004803.1	  
ENSEBLP00000004812.1	 or-PA 
ENSEBLP00000004818.1	 MED23-PA 
ENSEBLP00000004820.1	  
ENSEBLP00000004822.1	  
ENSEBLP00000004828.1	 Su(dx)-PF 
ENSEBLP00000004831.1	 MED23-PA 
ENSEBLP00000004834.1	 Su(dx)-PF 
ENSEBLP00000004838.1	  
ENSEBLP00000004839.1	 CG43088-PA 
ENSEBLP00000004845.1	 CG12128-PA 
ENSEBLP00000004851.1	  
ENSEBLP00000004855.1	 CG12128-PA 
ENSEBLP00000004859.1	  
ENSEBLP00000004863.1	 CG12128-PA 
ENSEBLP00000004864.1	 Cpr49Ae-PA 
ENSEBLP00000004869.1	 Ndg-PC 
ENSEBLP00000004874.1	 Oda-PC 
ENSEBLP00000004875.1	  
ENSEBLP00000004880.1	 Rx-PB 
ENSEBLP00000004883.1	  
ENSEBLP00000004888.1	 Oda-PA 
ENSEBLP00000004891.1	 Rx-PB 
ENSEBLP00000004897.1	 Oda-PA 
ENSEBLP00000004898.1	  
ENSEBLP00000004904.1	 btv-PD 
ENSEBLP00000004905.1	  
ENSEBLP00000004909.1	 CG15096-PB 
ENSEBLP00000004912.1	 Fcp1-PB 
ENSEBLP00000004914.1	 btv-PD 
ENSEBLP00000004917.1	 heix-PA 
ENSEBLP00000004919.1	 CG17292-PD 
ENSEBLP00000004923.1	  
ENSEBLP00000004924.1	 Fcp1-PB 
ENSEBLP00000004930.1	 CG17292-PD 
ENSEBLP00000004939.1	  
ENSEBLP00000004944.1	 odd-PA 
ENSEBLP00000004948.1	  
ENSEBLP00000004949.1	  
ENSEBLP00000004957.1	 Ric-PB 
ENSEBLP00000004962.1	 CG17260-PB 
ENSEBLP00000004968.1	  
ENSEBLP00000004969.1	  
ENSEBLP00000004970.1	 oaf-PC 
ENSEBLP00000004974.1	 oaf-PC 
ENSEBLP00000004976.1	  
ENSEBLP00000004984.1	  
ENSEBLP00000004985.1	  
ENSEBLP00000004989.1	 yip2-PA 
ENSEBLP00000004994.1	 Sps1-PA 
ENSEBLP00000004995.1	 fd19B-PA 
ENSEBLP00000004997.1	 yip2-PA 
ENSEBLP00000005005.1	 CG12490-PB 
ENSEBLP00000005012.1	  
ENSEBLP00000005017.1	 XNP-PB 
ENSEBLP00000005018.1	 CG13384-PC 
ENSEBLP00000005019.1	 ninaE-PA 
ENSEBLP00000005026.1	  
ENSEBLP00000005032.1	 CG13384-PC 
ENSEBLP00000005034.1	 XNP-PD 
ENSEBLP00000005035.1	 slmo-PE 
ENSEBLP00000005047.1	  
ENSEBLP00000005049.1	 Oli-PC 
ENSEBLP00000005050.1	 XNP-PD 
ENSEBLP00000005051.1	  
ENSEBLP00000005061.1	 Oli-PC 
ENSEBLP00000005073.1	  
ENSEBLP00000005074.1	  
ENSEBLP00000005076.1	 CG13492-PD 
ENSEBLP00000005079.1	 dpr13-PB 
ENSEBLP00000005085.1	 Pgant5-PB 
ENSEBLP00000005089.1	 dpr13-PB 
ENSEBLP00000005090.1	  
ENSEBLP00000005096.1	 smog-PF 
ENSEBLP00000005098.1	 Pgant5-PB 
ENSEBLP00000005102.1	  
ENSEBLP00000005104.1	 smog-PD 
ENSEBLP00000005105.1	 Pgant5-PA 
ENSEBLP00000005107.1	  
ENSEBLP00000005108.1	 MFS15-PA 
ENSEBLP00000005112.1	  
ENSEBLP00000005116.1	 smog-PF 
ENSEBLP00000005118.1	 Arc2-PA 
ENSEBLP00000005121.1	  
ENSEBLP00000005123.1	 smog-PF 
ENSEBLP00000005124.1	 Arc2-PA 
ENSEBLP00000005130.1	 Rint1-PA 
ENSEBLP00000005132.1	 smog-PD 
ENSEBLP00000005136.1	  
ENSEBLP00000005142.1	 Ugt36D1-PD 
ENSEBLP00000005146.1	 smog-PF 
ENSEBLP00000005147.1	 CG3862-PA 
ENSEBLP00000005148.1	 Ugt36D1-PD 
ENSEBLP00000005151.1	  
ENSEBLP00000005152.1	 Cyp12b2-PA 
ENSEBLP00000005162.1	 CG43088-PA 
ENSEBLP00000005165.1	 Cyp12b2-PA 
ENSEBLP00000005167.1	 CG43088-PA 
ENSEBLP00000005170.1	  
ENSEBLP00000005171.1	 Cyp12b2-PA 
ENSEBLP00000005172.1	 CG3862-PA 
ENSEBLP00000005173.1	 Smyd4-3-PA 
ENSEBLP00000005179.1	 CG2811-PA 
ENSEBLP00000005180.1	 CG43088-PA 
ENSEBLP00000005181.1	 Cyp12b2-PA 
ENSEBLP00000005182.1	 Nlg2-PC 
ENSEBLP00000005187.1	 CG2811-PA 
ENSEBLP00000005189.1	 CG5767-PA 
ENSEBLP00000005191.1	 CG2811-PA 
ENSEBLP00000005192.1	 rnh1-PA 
ENSEBLP00000005193.1	 CG11906-PA 
ENSEBLP00000005195.1	  
ENSEBLP00000005197.1	 Nlg2-PC 
ENSEBLP00000005202.1	 CG1671-PA 
ENSEBLP00000005204.1	  
ENSEBLP00000005205.1	  
ENSEBLP00000005210.1	  
ENSEBLP00000005212.1	  
ENSEBLP00000005216.1	 Acn-PC 
ENSEBLP00000005218.1	  
ENSEBLP00000005222.1	  
ENSEBLP00000005225.1	 Acn-PC 
ENSEBLP00000005226.1	 Mmp1-PL 
ENSEBLP00000005229.1	 CG13185-PD 
ENSEBLP00000005230.1	 CG16865-PB 
ENSEBLP00000005232.1	 CG4363-PA 
ENSEBLP00000005237.1	 Mmp1-PL 
ENSEBLP00000005240.1	 CG13185-PD 
ENSEBLP00000005241.1	 Mmp1-PL 
ENSEBLP00000005242.1	 Or22c-PA 
ENSEBLP00000005245.1	  
ENSEBLP00000005248.1	 Mmp1-PL 
ENSEBLP00000005251.1	 CG9826-PC 
ENSEBLP00000005254.1	  
ENSEBLP00000005255.1	 CG13185-PD 
ENSEBLP00000005261.1	 Phb1-PD 
ENSEBLP00000005265.1	 Dgat2-PA 
ENSEBLP00000005266.1	 PIG-N-PA 
ENSEBLP00000005269.1	 CG13185-PD 
ENSEBLP00000005270.1	 Pde1c-PD 
ENSEBLP00000005272.1	 Lcp65Af-PA 
ENSEBLP00000005274.1	 Dgat2-PA 
ENSEBLP00000005278.1	 Pde1c-PD 
ENSEBLP00000005279.1	 hlk-PF 
ENSEBLP00000005281.1	 Ugt37C2-PB 
ENSEBLP00000005285.1	 Lcp65Af-PA 
ENSEBLP00000005289.1	  
ENSEBLP00000005290.1	 CG31974-PC 
ENSEBLP00000005291.1	 hlk-PF 
ENSEBLP00000005295.1	 CG30373-PB 
ENSEBLP00000005296.1	 Dim1-PA 
ENSEBLP00000005297.1	 CG13272-PB 
ENSEBLP00000005300.1	 hlk-PK 
ENSEBLP00000005303.1	  
ENSEBLP00000005304.1	 CG30373-PB 
ENSEBLP00000005305.1	 CG15160-PB 
ENSEBLP00000005307.1	 CG33998-PA 
ENSEBLP00000005308.1	 CG13272-PB 
ENSEBLP00000005315.1	 CG33998-PA 
ENSEBLP00000005317.1	  
ENSEBLP00000005322.1	  
ENSEBLP00000005323.1	 Trp1-PA 
ENSEBLP00000005326.1	 CG9641-PB 
ENSEBLP00000005329.1	 NtR-PA 
ENSEBLP00000005328.1	 Fign-PB 
ENSEBLP00000005333.1	  
ENSEBLP00000005335.1	 Fign-PB 
ENSEBLP00000005338.1	 CG13928-PA 
ENSEBLP00000005339.1	 Ufsp1-PB 
ENSEBLP00000005344.1	 link-PA 
ENSEBLP00000005348.1	  
ENSEBLP00000005349.1	 link-PA 
ENSEBLP00000005350.1	 Swip-1-PB 
ENSEBLP00000005351.1	 eve-PA 
ENSEBLP00000005354.1	 link-PA 
ENSEBLP00000005356.1	 sei-PC 
ENSEBLP00000005359.1	 CG3548-PA 
ENSEBLP00000005360.1	 Swip-1-PB 
ENSEBLP00000005363.1	 Fnta-PB 
ENSEBLP00000005365.1	 sei-PC 
ENSEBLP00000005366.1	 CG3548-PA 
ENSEBLP00000005367.1	 kek3-PB 
ENSEBLP00000005368.1	  
ENSEBLP00000005370.1	 Fnta-PB 
ENSEBLP00000005371.1	  
ENSEBLP00000005372.1	 sei-PC 
ENSEBLP00000005373.1	 CG18131-PH 
ENSEBLP00000005378.1	  
ENSEBLP00000005380.1	 CG7824-PC 
ENSEBLP00000005382.1	 sei-PC 
ENSEBLP00000005383.1	 CG7420-PA 
ENSEBLP00000005384.1	  
ENSEBLP00000005387.1	  
ENSEBLP00000005390.1	  
ENSEBLP00000005391.1	 sei-PC 
ENSEBLP00000005394.1	 sei-PC 
ENSEBLP00000005393.1	 CG7492-PA 
ENSEBLP00000005397.1	 Hey-PA 
ENSEBLP00000005398.1	 CG42811-PA 
ENSEBLP00000005399.1	  
ENSEBLP00000005401.1	 CG43088-PA 
ENSEBLP00000005402.1	 Hey-PA 
ENSEBLP00000005404.1	  
ENSEBLP00000005410.1	 PIP5K59B-PJ 
ENSEBLP00000005413.1	  
ENSEBLP00000005415.1	 Pif1-PB 
ENSEBLP00000005417.1	  
ENSEBLP00000005418.1	 CG7695-PA 
ENSEBLP00000005420.1	  
ENSEBLP00000005422.1	 Incenp-PB 
ENSEBLP00000005423.1	 PIP5K59B-PI 
ENSEBLP00000005428.1	 Achl-PB 
ENSEBLP00000005431.1	 CG13321-PB 
ENSEBLP00000005432.1	 Incenp-PC 
ENSEBLP00000005433.1	 Fak-PD 
ENSEBLP00000005439.1	  
ENSEBLP00000005440.1	 Fak-PD 
ENSEBLP00000005441.1	 CG13692-PA 
ENSEBLP00000005443.1	 fusl-PF 
ENSEBLP00000005445.1	  
ENSEBLP00000005446.1	 escl-PC 
ENSEBLP00000005447.1	 Tep3-PA 
ENSEBLP00000005449.1	 fusl-PF 
ENSEBLP00000005451.1	  
ENSEBLP00000005452.1	 CG30259-PA 
ENSEBLP00000005453.1	  
ENSEBLP00000005455.1	 Tep3-PA 
ENSEBLP00000005456.1	 CG30259-PA 
ENSEBLP00000005458.1	  
ENSEBLP00000005461.1	  
ENSEBLP00000005464.1	 CG30259-PA 
ENSEBLP00000005465.1	 CG17754-PF 
ENSEBLP00000005466.1	 CG15073-PA 
ENSEBLP00000005468.1	  
ENSEBLP00000005469.1	  
ENSEBLP00000005472.1	 CG30259-PA 
ENSEBLP00000005474.1	  
ENSEBLP00000005475.1	  
ENSEBLP00000005477.1	 CG30259-PA 
ENSEBLP00000005478.1	 Orc1-PA 
ENSEBLP00000005479.1	 CG8963-PE 
ENSEBLP00000005480.1	  
ENSEBLP00000005484.1	 Cib2-PB 
ENSEBLP00000005486.1	 CG3760-PC 
ENSEBLP00000005488.1	  
ENSEBLP00000005490.1	  
ENSEBLP00000005492.1	 Catsup-PA 
ENSEBLP00000005494.1	  
ENSEBLP00000005495.1	 muskelin-PC 
ENSEBLP00000005496.1	 CG17002-PB 
ENSEBLP00000005498.1	  
